product_name,price,start_date,end_date
Laptop,999.99,2025-01-01,2025-12-31
Smartphone,699.99,2025-02-15,2025-11-30
Tablet,399.99,2025-03-01,2025-10-31
Smartwatch,199.99,2025-04-01,2025-09-30
Headphones,149.99,2025-05-01,2025-08-31
Bluetooth Speaker,89.99,2025-06-01,2025-07-31
Gaming Console,499.99,2025-07-01,2025-06-30
Camera,299.99,2025-08-01,2025-05-31
Monitor,199.99,2025-09-01,2025-04-30
Keyboard,49.99,2025-10-01,2025-03-31
Mouse,29.99,2025-11-01,2025-02-28
Printer,129.99,2025-12-01,2025-01-31
Router,79.99,2025-01-15,2025-12-15
External Hard Drive,99.99,2025-02-01,2025-11-15
Webcam,59.99,2025-03-15,2025-10-15
Smart TV,799.99,2025-04-01,2025-09-15
Drone,399.99,2025-05-01,2025-08-15
VR Headset,299.99,2025-06-01,2025-07-15
E-Reader,129.99,2025-07-01,2025-06-15
Fitness Tracker,99.99,2025-08-01,2025-05-15
